worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
A3V1ZYXBJYCIIE,1,go,500,77,77,1,699
A3V1ZYXBJYCIIE,1,go,500,77,77,1,866
A3V1ZYXBJYCIIE,1,stop,500,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,550,90,90,1,600
A3V1ZYXBJYCIIE,1,stop,550,-1,90,0,704
A3V1ZYXBJYCIIE,1,go,500,90,90,1,676
A3V1ZYXBJYCIIE,1,go,500,77,77,1,653
A3V1ZYXBJYCIIE,1,stop,500,-1,77,0,596
A3V1ZYXBJYCIIE,1,go,450,90,90,1,604
A3V1ZYXBJYCIIE,1,go,450,90,90,1,612
A3V1ZYXBJYCIIE,1,stop,450,-1,90,0,523
A3V1ZYXBJYCIIE,1,go,400,90,90,1,594
A3V1ZYXBJYCIIE,1,stop,400,-1,77,0,826
A3V1ZYXBJYCIIE,1,stop,350,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,400,90,90,1,681
A3V1ZYXBJYCIIE,1,go,400,77,77,1,656
A3V1ZYXBJYCIIE,1,go,400,77,77,1,696
A3V1ZYXBJYCIIE,1,stop,400,-1,77,0,1152
A3V1ZYXBJYCIIE,1,stop,350,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,450,90,90,1,696
A3V1ZYXBJYCIIE,1,go,450,90,90,1,637
A3V1ZYXBJYCIIE,1,stop,450,-1,90,0,454
A3V1ZYXBJYCIIE,1,go,400,77,77,1,781
A3V1ZYXBJYCIIE,1,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,450,90,90,1,695
A3V1ZYXBJYCIIE,1,stop,450,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,500,90,90,1,709
A3V1ZYXBJYCIIE,1,go,500,77,77,1,1068
A3V1ZYXBJYCIIE,1,go,500,77,77,1,1043
A3V1ZYXBJYCIIE,1,stop,500,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,550,77,77,1,777
A3V1ZYXBJYCIIE,1,go,550,90,90,1,999
A3V1ZYXBJYCIIE,1,go,550,90,90,1,694
A3V1ZYXBJYCIIE,1,go,550,77,77,1,669
A3V1ZYXBJYCIIE,1,stop,550,-1,90,0,674
